Size : 1000000, Time : 12.705100774765015
Size : 2000000, Time : 27.3632493019104
Size : 3000000, Time : 44.40957474708557
Size : 4000000, Time : 58.18452334403992
Size : 5000000, Time : 73.45296883583069
Size : 6000000, Time : 88.91198468208313
Size : 7000000, Time : 104.31888484954834
Size : 8000000, Time : 119.38025212287903
Size : 9000000, Time : 134.21493005752563
Size : 10000000, Time : 149.25170516967773
