Size : 0, Time : 0.08511519432067871
Size : 1000000, Time : 195.96833896636963
Size : 2000000, Time : 409.5809864997864
Size : 3000000, Time : 609.0434725284576
Size : 4000000, Time : 815.7169420719147
Size : 5000000, Time : 1009.7644834518433
Size : 6000000, Time : 1208.158133983612
Size : 7000000, Time : 1399.1170253753662
Size : 8000000, Time : 1592.3369131088257
Size : 9000000, Time : 1790.9210965633392
Size : 10000000, Time : 1983.5319550037384
